Кафедра,Руководитель,Группы
Комплексной Информационной Безопасности Электронно-Вычислительных Систем (КИБЭВС),"","",""
"",Глухарева Светлана,"748, 718-1"
"",,"748, 718-1"
"",Голубцов Евгений Сергеевич,"767-2, 748"
"",Колтайс Андрей Станиславович,"767-2, 748"
"",,718-1
"",Немирович-Данченко Михаил Михайлович,"719-1, 718-1, 738-1, 738-2"
"",Койшинов Тимур Саматулы,"728-2, 728-1"
"",Кручинин Дмитрий Владимирович,"728-2, 728-1"
"",Сарин Константин Сергеевич,"719-1, 718-1, 727-1"
"",Конев Антон Александрович,"728-2, 748, 727-1"
"",Конев Антон Александрович,737-1
"",Протасов Николай Иннокентьевич,747
"",Костюченко Евгений Юрьевич,"728-1, 738-2, 728-2, 738-1, 748, 727-1"
"",Конев Антон Александрович,"737-1, 718-1, 738-1, 728-2, 748, 727-1"
"",Пехов Олег Валерьевич,"738-2, 738-1"
"",Глухарева Светлана,"747, 718-1, 767-2"
"",Давыдова Елена Михайловна,"768-1, 747, 727-1, 767-2, 767-1"
"",Лобода Юлия Олеговна,"738-2, 1611, 747"
"",Новохрестов Алексей Константинович,738-1
"",Пехов Олег Валерьевич,728-1
"",Ходашинский Илья Александрович,"727-1, 748"
"",Колтайс Андрей Станиславович,"767-2, 748"
"",Кручинин Дмитрий Владимирович,"728-1, 728-2"
Кафедра менеджмента (Менеджмента),"","",""
"",Аксенова Жанна Николаевна,""
"",Гайдук Екатерина Александровна,868
"",Жигалова Виктория Николаевна,879-1
Промышленной Электроники (ПрЭ),"","",""
"",Михальченко Сергей Геннадьевич,"368-2, 588-2, 369-1"
"",Хотненок Сергей Юрьевич,"368-2, 588-2, 369-1"
"",Савин Данил Александрович,369-2
"",Бородин Кирилл Валерьевич,369-1
"",Михальченко Сергей Геннадьевич,369-1
"",Стрельников Павел Александрович,"368-2, 368-1"
"",Семенов Валерий Дмитриевич,"368-2, 368-1"
"",Пахмурин Денис Олегович,"368-2, 368-1"
"",Михальченко Сергей Геннадьевич,"518-1, 368-2, 588-2, 368-1"
"",Хотненок Сергей Юрьевич,"518-1, 368-2, 588-2, 368-1"
"",Топор Александр Васильевич,368-1
"",Семенов Валерий Дмитриевич,368-1
"",Пахмурин Денис Олегович,368-1
Радиоэлектронных Технологий и Экологического Мониторинга (РЭТЭМ),"","",""
"",Несмелова Нина Николаевна,"219-1, 219-2"
"",Незнамова Елена Григорьевна,"218-1, 218-2"
"",Солдаткин Василий Сергеевич,"218-1, 218-2"
"",Солдаткин Василий Сергеевич,238-3
"",Незнамова Елена Григорьевна,218-2
"",Солдаткин Василий Сергеевич,"238-3, 228-1, 218-2"
"",Шкарупо Анастасия Петровна,"218-1, 218-2"
"",Туев Василий Иванович,239-3
"",Позднеева Мария Витальевна,"228-1, 229-1"
"",Полякова Светлана Анатольевна,"228-1, 229-1"
"",Шкарупо Семен Петровича,238-3
"",Хомяков Артем Юрьевич,238-3
"",Солдаткин Василий Сергеевич,"238-3, 218-2"
"",Шкарупо Анастасия Петровна,"238-3, 218-2"
Компьютерных Систем в Управлениии и Проектировании (КСУП),"","",""
"",Хабибулина Надежда Юрьевна,589-3
"",,589-3
"",,589-3
"",Карелин Алексей Евгеньевич,539-1
"",,539-1
"",Ячный Иван Викторович,"519-1, 1А8, 588-2"
"",,"519-1, 1А8, 588-2"
"",Потапова Евгения Андреевна,589-3
"",Горяинов Александр Евгеньевич,"588-2, 588-1, 588-3, 518-2, 589-3, 589-1"
"",Калентьев Алексей Анатольевич,"588-2, 588-1, 588-3, 518-2, 589-3, 589-1"
"",Ячный Иван Викторович,"539-1, 519-1"
"",Хабибулина Надежда Юрьевна,"539-1, 519-1"
"",Потапова Евгения Андреевна,"518-1, 518-2, 539-1"
"",Коцубинский Владислав Петрович,"518-1, 528, 518-2, 588-3, 538, 519-1"
"",Хабибулина Надежда Юрьевна,"518-1, 528, 518-2, 588-3, 538, 519-1"
"",Ячный Иван Викторович,588-3
"",Потапова Евгения Андреевна,588-3
"",Ячный Иван Викторович,"518-2, 528, 588-3, 588-2, 588-1"
"",Потапова Евгения Андреевна,"518-2, 528, 588-3, 588-2, 588-1"
Автоматизированных Систем Управления (АСУ),"","",""
"",Катаев Михаил Юрьевич,"439-1, 449-1"
"",Катаев Михаил Юрьевич,439-2
"",Катаев Михаил Юрьевич,"439-5, 439-3"
"",,"438-2, 449-1"
"",Катаев Михаил Юрьевич,438-2
"",,"438-2, 438-3"
"",,438-1
"",Сибилев Валерий Дмитриевич,438-1
"",Алфёров Сергей Михайлович,438-1
"",Катаев Михаил Юрьевич,"438-1, 438-2"
"",,438-3
"",,438-1
"",Катаев Михаил Юрьевич,438-1
"",,"438-2, 438-3, 448-2"
Кафедра управления инновациями (УИ),"","",""
"",Губин Евгений Петрович,018
"",Антипин Михаил Евгеньевич,"019, 428-4, 429-3"
"",Семиглазов Вадим Анатольевич,"059, 019, 018"
"",Лариошина Ирина Анатольевна,019
"",Янушевская Марина Николаевна,059
"",Антипин Михаил Евгеньевич,"018, 019"
"",Антипин Михаил Евгеньевич,"018, БЖДк-314"
"",Килина Ольга Владимировна,"058, 018, 20-100-19-17, БЖДк-414"
"",Солдатов Алексей Иванович,019
Физической Электроники (ФЭ),"","",""
"",Мостовщиков Андрей Владимирович,"329-2, 329-1"
"",Климов Александр Сергеевич,"328-1, 329-1"
"",Жидик Юрий Сергеевич,"329-2, 328-1, 318, 329-1, 319"
"",Сальников Андрей Сергеевич,318
"",Чистоедова Инна Анатольевна,318
"",Сахаров Юрий Владимирович,"328-1, 318"
"",Смирнов Серафим Всеволодович,328-1
Электронных Приборов (ЭП),"","",""
"",Кистенева Марина Григорьевна,358
"",Акрестина Анна Сергеевна,348-1
"",Быков Виталий Иванович,"348-1, 358"
"",Шмаков Сергей Сергеевич,"348-1, 358"
"",,348-1
"",Орликов Леонид Николаевич,"348-1, 349"
"",Шандаров Евгений Станиславович,"328-1, 358"
"",,"348-1, 349"
"Экономической Математики, Информатики и Статистики (ЭМИС)","","",""
"",,598-2
"",Матолыгин Андрей Анатольевич,598-2
"",,598-2
